1,forward,2
2,forward,6
3,forward,8
4,forward,7
5,down,5
6,forward,8
7,forward,9
8,down,2
9,forward,6
10,down,9
11,forward,1
12,forward,8
13,forward,6
14,forward,7
15,down,4
16,down,5
17,forward,1
18,up,5
19,down,7
20,down,7
21,down,1
22,up,2
23,forward,3
24,forward,2
25,forward,2
26,forward,5
27,up,5
28,forward,4
29,forward,9
30,forward,6
31,down,4
32,down,9
33,down,2
34,up,6
35,forward,9
36,up,7
37,forward,7
38,forward,5
39,up,3
40,forward,4
41,forward,9
42,up,5
43,down,3
44,up,6
45,down,5
46,down,4
47,up,6
48,forward,9
49,forward,6
50,down,9
51,up,3
52,down,7
53,up,1
54,forward,8
55,forward,3
56,forward,8
57,up,6
58,forward,7
59,forward,5
60,forward,8
61,up,2
62,forward,2
63,forward,7
64,forward,7
65,down,1
66,forward,7
67,up,7
68,down,3
69,forward,9
70,down,5
71,down,2
72,forward,5
73,forward,1
74,forward,4
75,forward,6
76,up,2
77,up,7
78,forward,2
79,forward,6
80,forward,7
81,down,9
82,up,8
83,down,9
84,down,3
85,up,8
86,down,3
87,down,2
88,up,6
89,forward,3
90,forward,9
91,down,4
92,forward,5
93,down,6
94,up,8
95,forward,1
96,down,6
97,down,6
98,forward,5
99,down,6
100,forward,8
101,up,7
102,down,3
103,forward,7
104,forward,3
105,forward,1
106,forward,4
107,forward,4
108,down,3
109,up,9
110,up,5
111,forward,1
112,down,2
113,up,4
114,forward,7
115,up,4
116,down,3
117,down,5
118,down,8
119,forward,4
120,up,8
121,forward,7
122,up,3
123,up,4
124,up,9
125,forward,1
126,forward,1
127,down,6
128,forward,1
129,down,8
130,up,4
131,forward,9
132,forward,9
133,down,6
134,forward,9
135,forward,8
136,down,2
137,up,3
138,up,3
139,down,9
140,forward,7
141,forward,8
142,down,4
143,forward,1
144,up,3
145,forward,3
146,down,3
147,down,9
148,down,5
149,up,7
150,up,2
151,forward,7
152,forward,2
153,forward,5
154,forward,4
155,down,7
156,forward,7
157,up,1
158,up,3
159,down,6
160,down,4
161,forward,9
162,forward,8
163,down,5
164,down,4
165,down,1
166,down,5
167,forward,9
168,forward,8
169,down,3
170,forward,5
171,forward,3
172,forward,6
173,down,6
174,forward,3
175,up,9
176,forward,4
177,down,7
178,forward,3
179,forward,7
180,forward,1
181,forward,5
182,down,1
183,forward,1
184,down,6
185,up,7
186,down,3
187,forward,2
188,down,4
189,forward,6
190,up,6
191,forward,8
192,forward,8
193,down,5
194,up,4
195,forward,7
196,forward,6
197,up,4
198,forward,6
199,down,1
